year,sex,level_of_school,length_of_service,no_of_teachers
1987,MF,PRIMARY,0 - 4 YEARS,885
1987,F,PRIMARY,0 - 4 YEARS,774
1987,MF,SECONDARY,0 - 4 YEARS,1655
1987,F,SECONDARY,0 - 4 YEARS,1301
1987,MF,PRE-UNIVERSITY,0 - 4 YEARS,565
1987,F,PRE-UNIVERSITY,0 - 4 YEARS,377
1987,MF,PRIMARY,5 - 9 YEARS,1053
1987,F,PRIMARY,5 - 9 YEARS,961
1987,MF,SECONDARY,5 - 9 YEARS,1626
1987,F,SECONDARY,5 - 9 YEARS,1320
1987,MF,PRE-UNIVERSITY,5 - 9 YEARS,385
1987,F,PRE-UNIVERSITY,5 - 9 YEARS,262
1987,MF,PRIMARY,10 - 14 YEARS,510
1987,F,PRIMARY,10 - 14 YEARS,396
1987,MF,SECONDARY,10 - 14 YEARS,589
1987,F,SECONDARY,10 - 14 YEARS,442
1987,MF,PRE-UNIVERSITY,10 - 14 YEARS,130
1987,F,PRE-UNIVERSITY,10 - 14 YEARS,99
1987,MF,PRIMARY,15 - 19 YEARS,959
1987,F,PRIMARY,15 - 19 YEARS,782
1987,MF,SECONDARY,15 - 19 YEARS,863
1987,F,SECONDARY,15 - 19 YEARS,479
1987,MF,PRE-UNIVERSITY,15 - 19 YEARS,108
1987,F,PRE-UNIVERSITY,15 - 19 YEARS,63
1987,MF,PRIMARY,20 - 24 YEARS,3417
1987,F,PRIMARY,20 - 24 YEARS,2452
1987,MF,SECONDARY,20 - 24 YEARS,1927
1987,F,SECONDARY,20 - 24 YEARS,897
1987,MF,PRE-UNIVERSITY,20 - 24 YEARS,124
1987,F,PRE-UNIVERSITY,20 - 24 YEARS,47
1987,MF,PRIMARY,25 - 29 YEARS,2668
1987,F,PRIMARY,25 - 29 YEARS,1602
1987,MF,SECONDARY,25 - 29 YEARS,884
1987,F,SECONDARY,25 - 29 YEARS,332
1987,MF,PRE-UNIVERSITY,25 - 29 YEARS,40
1987,F,PRE-UNIVERSITY,25 - 29 YEARS,19
1987,MF,PRIMARY,30 YEARS & ABOVE,941
1987,F,PRIMARY,30 YEARS & ABOVE,461
1987,MF,SECONDARY,30 YEARS & ABOVE,389
1987,F,SECONDARY,30 YEARS & ABOVE,66
1987,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,16
1987,F,PRE-UNIVERSITY,30 YEARS & ABOVE,0
1988,MF,PRIMARY,0 - 4 YEARS,745
1988,F,PRIMARY,0 - 4 YEARS,670
1988,MF,SECONDARY,0 - 4 YEARS,1243
1988,F,SECONDARY,0 - 4 YEARS,972
1988,MF,PRE-UNIVERSITY,0 - 4 YEARS,461
1988,F,PRE-UNIVERSITY,0 - 4 YEARS,297
1988,MF,PRIMARY,5 - 9 YEARS,1037
1988,F,PRIMARY,5 - 9 YEARS,931
1988,MF,SECONDARY,5 - 9 YEARS,1660
1988,F,SECONDARY,5 - 9 YEARS,1351
1988,MF,PRE-UNIVERSITY,5 - 9 YEARS,433
1988,F,PRE-UNIVERSITY,5 - 9 YEARS,301
1988,MF,PRIMARY,10 - 14 YEARS,336
1988,F,PRIMARY,10 - 14 YEARS,249
1988,MF,SECONDARY,10 - 14 YEARS,609
1988,F,SECONDARY,10 - 14 YEARS,448
1988,MF,PRE-UNIVERSITY,10 - 14 YEARS,166
1988,F,PRE-UNIVERSITY,10 - 14 YEARS,132
1988,MF,PRIMARY,15 - 19 YEARS,1002
1988,F,PRIMARY,15 - 19 YEARS,873
1988,MF,SECONDARY,15 - 19 YEARS,781
1988,F,SECONDARY,15 - 19 YEARS,494
1988,MF,PRE-UNIVERSITY,15 - 19 YEARS,118
1988,F,PRE-UNIVERSITY,15 - 19 YEARS,72
1988,MF,PRIMARY,20 - 24 YEARS,2768
1988,F,PRIMARY,20 - 24 YEARS,1995
1988,MF,SECONDARY,20 - 24 YEARS,1750
1988,F,SECONDARY,20 - 24 YEARS,835
1988,MF,PRE-UNIVERSITY,20 - 24 YEARS,124
1988,F,PRE-UNIVERSITY,20 - 24 YEARS,54
1988,MF,PRIMARY,25 - 29 YEARS,2918
1988,F,PRIMARY,25 - 29 YEARS,1812
1988,MF,SECONDARY,25 - 29 YEARS,1114
1988,F,SECONDARY,25 - 29 YEARS,439
1988,MF,PRE-UNIVERSITY,25 - 29 YEARS,54
1988,F,PRE-UNIVERSITY,25 - 29 YEARS,22
1988,MF,PRIMARY,30 YEARS & ABOVE,1386
1988,F,PRIMARY,30 YEARS & ABOVE,734
1988,MF,SECONDARY,30 YEARS & ABOVE,438
1988,F,SECONDARY,30 YEARS & ABOVE,102
1988,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,16
1988,F,PRE-UNIVERSITY,30 YEARS & ABOVE,1
1989,MF,PRIMARY,0 - 4 YEARS,827
1989,F,PRIMARY,0 - 4 YEARS,750
1989,MF,SECONDARY,0 - 4 YEARS,1165
1989,F,SECONDARY,0 - 4 YEARS,940
1989,MF,PRE-UNIVERSITY,0 - 4 YEARS,485
