year,sex,level_of_school,age,no_of_teachers
1996,MF,PRE-UNIVERSITY,24 YEARS & BELOW,83
1996,F,PRE-UNIVERSITY,24 YEARS & BELOW,71
1996,MF,PRE-UNIVERSITY,25 - 29,354
1996,F,PRE-UNIVERSITY,25 - 29,208
1996,MF,PRE-UNIVERSITY,30 - 34,291
1996,F,PRE-UNIVERSITY,30 - 34,188
1996,MF,PRE-UNIVERSITY,35 - 39,252
1996,F,PRE-UNIVERSITY,35 - 39,170
1996,MF,PRE-UNIVERSITY,40 - 44,214
1996,F,PRE-UNIVERSITY,40 - 44,144
1996,MF,PRE-UNIVERSITY,45 - 49,211
1996,F,PRE-UNIVERSITY,45 - 49,108
1996,MF,PRE-UNIVERSITY,50 - 54,118
1996,F,PRE-UNIVERSITY,50 - 54,52
1996,MF,PRE-UNIVERSITY,55 & ABOVE,52
1996,F,PRE-UNIVERSITY,55 & ABOVE,14
1996,MF,PRIMARY,24 YEARS & BELOW,1101
1996,F,PRIMARY,24 YEARS & BELOW,1042
1996,MF,PRIMARY,25 - 29,1548
1996,F,PRIMARY,25 - 29,1355
1996,MF,PRIMARY,30 - 34,785
1996,F,PRIMARY,30 - 34,675
1996,MF,PRIMARY,35 - 39,706
1996,F,PRIMARY,35 - 39,611
1996,MF,PRIMARY,40 - 44,523
1996,F,PRIMARY,40 - 44,482
1996,MF,PRIMARY,45 - 49,2307
1996,F,PRIMARY,45 - 49,1862
1996,MF,PRIMARY,50 - 54,1922
1996,F,PRIMARY,50 - 54,1237
1996,MF,PRIMARY,55 & ABOVE,1271
1996,F,PRIMARY,55 & ABOVE,604
1996,MF,SECONDARY,24 YEARS & BELOW,592
1996,F,SECONDARY,24 YEARS & BELOW,555
1996,MF,SECONDARY,25 - 29,1309
1996,F,SECONDARY,25 - 29,895
1996,MF,SECONDARY,30 - 34,1081
1996,F,SECONDARY,30 - 34,809
1996,MF,SECONDARY,35 - 39,1222
1996,F,SECONDARY,35 - 39,949
1996,MF,SECONDARY,40 - 44,948
1996,F,SECONDARY,40 - 44,684
1996,MF,SECONDARY,45 - 49,1583
1996,F,SECONDARY,45 - 49,922
1996,MF,SECONDARY,50 - 54,1197
1996,F,SECONDARY,50 - 54,503
1996,MF,SECONDARY,55 & ABOVE,791
1996,F,SECONDARY,55 & ABOVE,255
1997,MF,PRE-UNIVERSITY,24 YEARS & BELOW,108
1997,F,PRE-UNIVERSITY,24 YEARS & BELOW,97
1997,MF,PRE-UNIVERSITY,25 - 29,388
1997,F,PRE-UNIVERSITY,25 - 29,211
1997,MF,PRE-UNIVERSITY,30 - 34,253
1997,F,PRE-UNIVERSITY,30 - 34,153
1997,MF,PRE-UNIVERSITY,35 - 39,265
1997,F,PRE-UNIVERSITY,35 - 39,173
1997,MF,PRE-UNIVERSITY,40 - 44,215
1997,F,PRE-UNIVERSITY,40 - 44,143
1997,MF,PRE-UNIVERSITY,45 - 49,213
1997,F,PRE-UNIVERSITY,45 - 49,120
1997,MF,PRE-UNIVERSITY,50 - 54,121
1997,F,PRE-UNIVERSITY,50 - 54,54
1997,MF,PRE-UNIVERSITY,55 & ABOVE,61
1997,F,PRE-UNIVERSITY,55 & ABOVE,17
1997,MF,PRIMARY,24 YEARS & BELOW,1471
1997,F,PRIMARY,24 YEARS & BELOW,1386
1997,MF,PRIMARY,25 - 29,1945
1997,F,PRIMARY,25 - 29,1636
1997,MF,PRIMARY,30 - 34,973
1997,F,PRIMARY,30 - 34,819
1997,MF,PRIMARY,35 - 39,835
1997,F,PRIMARY,35 - 39,719
1997,MF,PRIMARY,40 - 44,461
1997,F,PRIMARY,40 - 44,423
1997,MF,PRIMARY,45 - 49,1867
1997,F,PRIMARY,45 - 49,1518
1997,MF,PRIMARY,50 - 54,2135
1997,F,PRIMARY,50 - 54,1499
1997,MF,PRIMARY,55 & ABOVE,1502
1997,F,PRIMARY,55 & ABOVE,732
1997,MF,SECONDARY,24 YEARS & BELOW,781
1997,F,SECONDARY,24 YEARS & BELOW,691
1997,MF,SECONDARY,25 - 29,1606
1997,F,SECONDARY,25 - 29,1054
1997,MF,SECONDARY,30 - 34,1090
1997,F,SECONDARY,30 - 34,787
1997,MF,SECONDARY,35 - 39,1204
1997,F,SECONDARY,35 - 39,922
1997,MF,SECONDARY,40 - 44,902
1997,F,SECONDARY,40 - 44,662
1997,MF,SECONDARY,45 - 49,1358
1997,F,SECONDARY,45 - 49,841
1997,MF,SECONDARY,50 - 54,1293
1997,F,SECONDARY,50 - 54,563
1997,MF,SECONDARY,55 & ABOVE,815
1997,F,SECONDARY,55 & ABOVE,257
1998,MF,PRE-UNIVERSITY,24 YEARS & BELOW,114
1998,F,PRE-UNIVERSITY,24 YEARS & BELOW,106
1998,MF,PRE-UNIVERSITY,25 - 29,423
1998,F,PRE-UNIVERSITY,25 - 29,208
1998,MF,PRE-UNIVERSITY,30 - 34,272
1998,F,PRE-UNIVERSITY,30 - 34,160
1998,MF,PRE-UNIVERSITY,35 - 39,252
1998,F,PRE-UNIVERSITY,35 - 39,171
1998,MF,PRE-UNIVERSITY,40 - 44,205
1998,F,PRE-UNIVERSITY,40 - 44,139
1998,MF,PRE-UNIVERSITY,45 - 49,207
1998,F,PRE-UNIVERSITY,45 - 49,125
1998,MF,PRE-UNIVERSITY,50 - 54,153
1998,F,PRE-UNIVERSITY,50 - 54,69
1998,MF,PRE-UNIVERSITY,55 & ABOVE,79
1998,F,PRE-UNIVERSITY,55 & ABOVE,29
1998,MF,PRIMARY,24 YEARS & BELOW,1251
1998,F,PRIMARY,24 YEARS & BELOW,1196
1998,MF,PRIMARY,25 - 29,2306
1998,F,PRIMARY,25 - 29,1937
1998,MF,PRIMARY,30 - 34,1185
1998,F,PRIMARY,30 - 34,970
1998,MF,PRIMARY,35 - 39,895
1998,F,PRIMARY,35 - 39,780
1998,MF,PRIMARY,40 - 44,488
1998,F,PRIMARY,40 - 44,425
1998,MF,PRIMARY,45 - 49,1179
